sample-id	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath	type
SRR3189288_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR3189288_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2225468_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2225468_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2154305_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2154305_L001_R1_001.fastq.gz	NA	NA	single-end
SRR1802175_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR1802175_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053264_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053264_L001_R1_001.fastq.gz	NA	NA	single-end
SRR3189290_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR3189290_L001_R1_001.fastq.gz	NA	NA	single-end
SRR5922776_IRENA_2017	/home/ubuntu/ccm/fastq_files/single/SRR5922776_L001_R1_001.fastq.gz	NA	NA	single-end
SRR3211889_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR3211889_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053268_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053268_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053255_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053255_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053265_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053265_L001_R1_001.fastq.gz	NA	NA	single-end
SRR5922774_IRENA_2017	/home/ubuntu/ccm/fastq_files/single/SRR5922774_L001_R1_001.fastq.gz	NA	NA	single-end
SRR5124915_PARK_2017	/home/ubuntu/ccm/fastq_files/single/SRR5124915_L001_R1_001.fastq.gz	NA	NA	single-end
SRR2053262_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR2053262_L001_R1_001.fastq.gz	NA	NA	single-end
SRR3189287_CERILLO_2016	/home/ubuntu/ccm/fastq_files/single/SRR3189287_L001_R1_001.fastq.gz	NA	NA	single-end
